Sample,AgeID,ObjID,ID,Morphotype_Name,A,B,C,D1,D2,E1,E2,F,G,H1,H2,H3,H4,H5,K1,K2,K3,L,M,N1,N2,O,P,Q,R1,R2,R3,R4,WID,AR
P031.M20.1.,28.49,obj00006,P031.M20.1.obj00006,Cloudy Long Cone,1,2,1,4,3,1,0,1,1,1,0,0,0,0,1,0,0,2,1,1,1,1,3,1,5,3,3,3,200,99
P031.M20.1.,28.49,obj00007,P031.M20.1.obj00007,Acrodin Tip Small Spearhead Tooth,1,1,2,2,1,1,0,1,3,2,1,1,2,1,1,0,0,2,2,1,1,2,3,3,1,3,2,1,200,99
P031.M20.1.,28.49,obj00009,P031.M20.1.obj00009,Acrodin Tip Round Flared 3/4 Root Curved Base,1,1,2,4,2,1,0,1,3,2,1,1,2,1,1,0,0,2,2,2,3,2,3,3,2,2,1,3,200,99
P031.M20.1.,28.49,obj00010,P031.M20.1.obj00010,Acrodin Tip Flared Blades Straight 3/4 Root,1,1,2,2,2,1,0,1,3,2,1,3,1,1,1,0,0,2,2,1,1,2,3,3,1,2,2,2,200,99
P031.M20.1.,28.49,obj00011,P031.M20.1.obj00011,Clear Straight 3/4 Root,1,2,2,4,2,1,0,1,3,2,1,1,2,1,1,0,0,2,1,1,1,2,3,3,1,2,2,1,200,99
P031.M20.1.,28.49,obj00012,P031.M20.1.obj00012,Acrodin Tip Flared Blades Concave 3/4 Root Helm Base,1,1,2,3,2,1,0,1,3,2,1,3,1,1,1,0,0,2,2,1,4,2,3,3,2,2,2,5,200,99
P031.M20.1.,28.49,obj00013,P031.M20.1.obj00013,Acrodin Tip Taper Flared 3/4 Root Curved Base,1,1,2,4,2,1,0,1,3,2,1,1,2,1,1,0,0,2,2,2,3,2,3,3,2,2,1,4,200,99
P031.M20.1.,28.49,obj00014,P031.M20.1.obj00014,Acrodin Tip Small Spearhead Tooth,1,2,2,2,1,1,0,1,3,2,1,1,2,1,1,0,0,2,2,1,1,2,3,3,1,3,2,1,200,99
P031.M20.1.,28.49,obj00015,P031.M20.1.obj00015,Acrodin Tip Straight 3/4 Root Curved Base,1,1,2,4,2,1,0,1,3,2,1,1,2,1,1,0,0,2,2,2,3,2,3,3,1,2,2,1,200,99
P031.M20.1.,28.49,obj00016,P031.M20.1.obj00016,Acrodin Tip Small Spearhead Tooth,1,2,2,2,1,1,0,1,3,2,1,1,2,1,1,0,0,2,2,1,1,2,3,3,1,3,2,1,200,99
P031.M20.1.,28.49,obj00017,P031.M20.1.obj00017,Clear Medium Tooth Convex 3/4 Root Helm Base,1,2,2,3,1,1,0,1,3,2,1,1,2,1,1,0,0,2,1,1,4,2,4,3,2,1,2,4,200,99
P031.M20.1.,28.49,obj00021,P031.M20.1.obj00021,Acrodin Tip Flared Blades Concave 3/4 Root Helm Base,1,1,2,3,2,1,0,1,3,2,1,3,1,1,1,0,0,2,2,1,4,2,3,3,2,2,2,5,200,99
P031.M20.1.,28.49,obj00022,P031.M20.1.obj00022,Round Clear Tip Flared Blades Dome Root,1,1,2,3,2,1,0,1,3,2,1,3,2,5,1,0,0,3,1,0,0,2,4,1,5,3,3,3,200,99
P031.M20.1.,28.49,obj00023,P031.M20.1.obj00023,Acrodin Tip Long Tooth Flange Standard Curved Right Triangle,1,1,2,4,1,2,1,4,3,2,1,1,2,1,2,1,2,2,1,1,1,2,2,2,1,2,2,2,200,99
P031.M20.1.,28.49,obj00025,P031.M20.1.obj00025,Acrodin Tip Long Cone No Blades Dome Root,1,1,1,5,3,1,0,1,1,1,0,0,0,0,1,0,0,2,2,1,1,2,3,1,5,3,3,3,200,99
P031.M20.1.,28.49,obj00027,P031.M20.1.obj00027,Acrodin Tip Small Spearhead Tooth,1,1,2,2,1,1,0,1,3,2,1,1,2,1,1,0,0,2,2,1,1,2,3,3,1,3,2,1,200,99
