Site,Proxy,Age,Value
DSDP522,IAR,30.63262,3604.63879
DSDP522,IAR,30.794577,3768.245743
DSDP522,IAR,30.951206,3150.323909
DSDP522,IAR,31.102508,2762.771371
DSDP522,IAR,31.149391,3970.036694
DSDP522,IAR,31.194142,5205.435778
DSDP522,IAR,31.255941,4389.546973
DSDP522,IAR,31.312413,5347.951204
DSDP522,IAR,31.351837,7081.288722
DSDP522,IAR,31.417898,3710.917623
DSDP522,IAR,31.469042,2230.174144
DSDP522,IAR,31.534038,3625.959923
DSDP522,IAR,31.570265,3701.618994
DSDP522,IAR,31.619279,3539.574677
DSDP522,IAR,31.660833,2988.973905
DSDP522,IAR,31.724764,2005.825862
DSDP522,IAR,31.784432,3139.325195
DSDP522,IAR,31.820659,2944.554816
DSDP522,IAR,31.892048,3549.28277
DSDP522,IAR,31.937865,1436.753542
DSDP522,IAR,32.004992,3085.631513
DSDP522,IAR,32.040153,3612.340713
DSDP522,IAR,32.087036,3501.499721
DSDP522,IAR,32.129656,4412.084531
DSDP522,IAR,32.201045,3342.759236
DSDP522,IAR,32.246862,3022.282217
DSDP522,IAR,32.286285,3994.872452
DSDP522,IAR,32.354478,3981.550683
DSDP522,IAR,32.406687,3180.009218
DSDP522,IAR,32.503648,1838.824639
DSDP522,IAR,32.555858,3742.102722
DSDP522,IAR,32.598478,3562.822632
DSDP522,IAR,32.669867,3092.714631
DSDP522,IAR,32.715684,3391.429617
DSDP522,IAR,32.760435,4258.284408
DSDP522,IAR,32.825431,3130.101775
DSDP522,IAR,32.87551,2754.555077
DSDP522,IAR,32.934113,4779.028227
DSDP522,IAR,32.971405,2121.747386
DSDP522,IAR,33.024681,2898.77352
DSDP522,IAR,33.067301,5504.644312
DSDP522,IAR,33.13869,2018.479585
DSDP522,IAR,33.181886,3447.965398
DSDP522,IAR,33.219948,2795.445711
DSDP522,IAR,33.24564,5810.829085
DSDP522,IAR,33.327474,4715.778627
DSDP522,IAR,33.375052,4516.648082
DSDP522,IAR,33.408356,4844.736142
DSDP522,IAR,33.472111,5251.343699
DSDP522,IAR,33.52064,4409.609264
DSDP522,IAR,33.553945,3832.911939
DSDP522,IAR,33.612941,5866.761986
DSDP522,IAR,33.648149,3702.140999
DSDP522,IAR,33.706194,7178.30625
DSDP522,IAR,33.751442,2973.779968
DSDP522,IAR,33.788476,4383.331322
DSDP522,IAR,33.839617,2216.267322
DSDP522,IAR,33.881941,4610.436648
DSDP522,IAR,33.930437,3810.022591
DSDP522,IAR,33.970116,7228.839135
DSDP522,IAR,34.005386,7072.356679
DSDP522,IAR,34.058291,4968.35568
DSDP522,IAR,34.109433,3196.410067
DSDP522,IAR,34.137649,3773.75909
DSDP522,IAR,34.181736,4024.415281
DSDP522,IAR,34.236405,5219.053157
DSDP522,IAR,34.278729,3414.674145
DSDP522,IAR,34.313999,4597.557162
DSDP522,IAR,34.369549,4412.239753
DSDP522,IAR,34.410991,6268.472274
DSDP522,IAR,34.447143,4586.1478
DSDP522,IAR,34.50622,4091.241435
DSDP522,IAR,34.59175,3831.713087
DSDP522,IAR,34.631429,6148.465665
DSDP522,IAR,34.666699,5076.716728
DSDP522,IAR,34.725776,7476.720814
DSDP522,IAR,34.769863,6633.19376
DSDP522,IAR,34.798961,4927.050663
DSDP522,IAR,34.822768,5923.365382
DSDP522,IAR,34.927697,8441.176508
DSDP522,IAR,34.966494,4492.518199
DSDP522,IAR,35.00244,5023.879507
DSDP522,IAR,35.078076,5187.884166
DSDP522,IAR,35.137852,4571.757724
DSDP522,IAR,35.18543,3239.364512
DSDP522,IAR,35.262285,5329.714453
DSDP522,IAR,35.385498,5102.164548
DSDP522,IAR,35.445275,3454.377988
DSDP522,IAR,35.490412,3078.459619
DSDP522,IAR,35.567268,4782.774817
DSDP522,IAR,35.750258,4380.78035
DSDP522,IAR,35.785636,5980.763341
DSDP596,IAR,22.956176,513.1547375
DSDP596,IAR,23.193846,314.6532418
DSDP596,IAR,23.386154,214.9881099
DSDP596,IAR,23.591282,291.9018449
DSDP596,IAR,23.847692,177.6378422
DSDP596,IAR,24.155385,289.5729442
DSDP596,IAR,24.411795,158.2561517
DSDP596,IAR,24.668205,219.2040394
DSDP596,IAR,24.822051,199.0158237
DSDP596,IAR,25.437436,289.6090786
DSDP596,IAR,25.54,239.6689365
DSDP596,IAR,25.85,171.2397219
DSDP596,IAR,26.676667,249.0111388
DSDP596,IAR,26.935,251.6387932
DSDP596,IAR,27.141667,151.2535161
DSDP596,IAR,27.4,145.2654365
DSDP596,IAR,27.71,168.8454364
DSDP596,IAR,27.916667,211.0590603
DSDP596,IAR,28.485,178.0864263
DSDP596,IAR,28.74,141.4234916
DSDP596,IAR,28.94,121.0382422
DSDP596,IAR,29.14,178.811807
DSDP596,IAR,29.44,149.8332612
DSDP596,IAR,29.75,122.0132459
DSDP596,IAR,29.97,185.4706899
DSDP596,IAR,30.245,230.6754056
DSDP596,IAR,30.52,188.2746559
DSDP596,IAR,30.795,202.0331901
DSDP596,IAR,31.07,116.7741275
DSDP596,IAR,31.345,155.641905
DSDP596,IAR,32.4175,173.6815928
DSDP596,IAR,32.68,221.1464093
DSDP596,IAR,32.96875,162.7896586
DSDP596,IAR,33.31,187.2922619
DSDP596,IAR,33.52,229.6365674
DSDP596,IAR,33.7825,159.08477
DSDP596,IAR,34.05,178.453087
DSDP596,IAR,34.27,164.3168215
DSDP596,IAR,34.6,219.2766117
DSDP596,IAR,34.82,216.3018556
DSDP596,IAR,35.09,159.9000326
DSDP596,IAR,35.34,182.395015
DSDP596,IAR,35.64,379.241457
DSDP596,IAR,35.84,303.4582762
DSDP596,IAR,36.09,199.7128152
DSDP596,IAR,36.34,171.8113037
DSDP596,IAR,36.59,217.6760738
DSDP596,IAR,36.84,292.6598941
DSDP596,IAR,37.09,332.0238547
DSDP596,IAR,37.34,275.3706473
DSDP596,IAR,37.59,204.5752077
DSDP596,IAR,37.89,457.4420131
DSDP596,IAR,38.09,240.9550796
DSDP596,IAR,38.34,324.3571281
DSDP596,IAR,38.69,287.1720984
DSDP596,IAR,38.99,208.3514219
DSDP596,IAR,39.345263,233.1628732
DSDP596,IAR,39.424211,329.5628379
DSDP596,IAR,41.503158,190.7671759
DSDP596,IAR,41.766316,281.7000217
DSDP596,Si,21.14,6.033613445
DSDP596,Si,23.04,6.157671537
DSDP596,Si,23.54,4.0528072
DSDP596,Si,25.54,3.104665278
DSDP596,Si,28.64,3.137981657
DSDP596,Si,29.64,3.175956
DSDP596,Si,31.84,2.9232
DSDP596,Si,33.94,2.974350476
DSDP596,Si,35.04,2.717474545
DSDP596,Si,36.04,2.891744
DSDP596,Si,37.94,2.859704
DSDP596,Si,39.24,2.69984
DSDP596,Si,42.24,2.3966904
DSDP596,Ba,21.14,3.764584198
DSDP596,Ba,21.698824,3.976663629
DSDP596,Ba,22.257647,3.519117305
DSDP596,Ba,23.04,3.759719717
DSDP596,Ba,23.54,2.983604
DSDP596,Ba,24.514359,2.066776179
DSDP596,Ba,25.54,2.725632068
DSDP596,Ba,26.573333,1.869845595
DSDP596,Ba,27.606667,2.195302007
DSDP596,Ba,28.64,2.562504052
DSDP596,Ba,29.64,2.18484
DSDP596,Ba,30.74,2.3653
DSDP596,Ba,31.84,2.478
DSDP596,Ba,32.89,2.344057143
DSDP596,Ba,33.94,2.355352381
DSDP596,Ba,35.04,1.573381818
DSDP596,Ba,36.04,2.40672
DSDP596,Ba,36.89,2.25386306
DSDP596,Ba,37.94,2.2554
DSDP596,Ba,38.54,2.06033864
DSDP596,Ba,39.24,1.90784
DSDP596,Ba,41.24,2.317797559
DSDP596,Ba,42.24,3.288064
ODP689,IAR,26.76903,699.7462607
ODP689,IAR,26.8451,299.5125861
ODP689,IAR,26.915204,651.6474372
ODP689,IAR,26.9868,257.1983209
ODP689,IAR,27.068837,992.5075484
ODP689,IAR,27.138941,151.7028706
ODP689,IAR,27.216504,357.1877692
ODP689,IAR,27.291083,545.4827568
ODP689,IAR,27.359695,470.9800565
ODP689,IAR,27.440241,553.7867332
ODP689,IAR,27.51482,418.2264432
ODP689,IAR,27.586415,331.9000705
ODP689,IAR,27.663978,437.844455
ODP689,IAR,27.738557,273.025979
ODP689,IAR,27.813136,371.0406765
ODP689,IAR,27.887715,430.8479914
ODP689,IAR,27.962294,42.6784405
ODP689,IAR,28.244202,511.6037901
ODP689,IAR,28.290332,818.427954
ODP689,IAR,28.364131,468.2625152
ODP689,IAR,28.42317,481.287884
ODP689,IAR,28.496969,455.837582
ODP689,IAR,28.569293,550.3581303
ODP689,IAR,28.644568,402.466854
ODP689,IAR,28.718367,280.0797364
ODP689,IAR,28.792166,258.0417331
ODP689,IAR,28.865965,311.7934887
ODP689,IAR,28.939764,404.1870543
ODP689,IAR,29.013563,584.4440434
ODP689,IAR,29.09179,708.3117932
ODP689,IAR,29.161162,584.3277092
ODP689,IAR,29.242341,457.3333581
ODP689,IAR,29.707275,467.2762486
ODP689,IAR,29.776646,370.644287
ODP689,IAR,29.853397,1449.280475
ODP689,IAR,29.928672,772.4084143
ODP689,IAR,30.027543,446.9222999
ODP689,IAR,30.188057,375.4769445
ODP689,IAR,30.339486,338.7168572
ODP689,IAR,30.487886,447.7873284
ODP689,IAR,30.642343,323.3850465
ODP689,IAR,30.793771,196.9194409
ODP689,IAR,30.936114,178.4237337
ODP689,IAR,31.069875,264.8206999
ODP689,IAR,31.149626,224.4635287
ODP689,IAR,31.227715,297.7759321
ODP689,IAR,31.317434,324.6855357
ODP689,IAR,31.398846,414.4492047
ODP689,IAR,31.476934,644.6129137
ODP689,IAR,31.564992,924.7809347
ODP689,IAR,31.66468,348.558251
ODP689,IAR,31.747754,267.9319066
ODP689,IAR,31.824181,300.4047237
ODP689,IAR,31.910577,184.2520093
ODP689,IAR,31.996973,168.518205
ODP689,IAR,32.078385,261.5092067
ODP689,IAR,32.161459,291.1234631
ODP689,IAR,32.246193,242.7954603
ODP689,IAR,32.325944,233.7409611
ODP689,IAR,32.409017,211.1291738
ODP689,IAR,32.493752,270.1883427
ODP689,IAR,32.576825,160.2132814
ODP689,IAR,32.668206,193.9428616
ODP689,IAR,32.742972,198.1297632
ODP689,IAR,32.912441,163.8632945
ODP689,IAR,32.993853,319.6070107
ODP689,IAR,33.166347,623.3285949
ODP689,IAR,33.566223,292.3051653
ODP689,IAR,33.65191,600.685373
ODP689,IAR,33.739185,1144.442044
ODP689,IAR,33.813765,622.8891862
ODP689,IAR,33.885171,433.3921149
ODP689,IAR,33.970859,395.2780505
ODP689,IAR,34.048612,521.4650845
ODP689,IAR,34.215227,199.2175741
ODP689,IAR,34.286633,91.85548202
ODP689,IAR,34.440554,343.1900631
ODP689,IAR,34.516721,356.9399145
ODP689,IAR,34.673815,782.281696
ODP689,IAR,35.027673,236.6086164
ODP689,IAR,35.116534,283.5108174
ODP689,IAR,35.191114,256.5426993
ODP689,IAR,35.270454,242.0839506
ODP689,IAR,35.348208,1007.878225
ODP689,IAR,35.429135,926.9802295
ODP689,IAR,35.508475,412.6521826
ODP689,IAR,35.587816,286.4938209
ODP689,IAR,35.654462,764.8103723
ODP689,IAR,35.7958,263.8451572
ODP689,IAR,35.8442,350.2147604
ODP689,IAR,35.9003,383.9905723
ODP689,IAR,35.9553,288.0267713
ODP689,IAR,36.0114,742.5478715
ODP689,IAR,36.0631,688.4839473
ODP689,IAR,36.1181,377.6244329
ODP689,IAR,36.172,219.6989851
ODP689,IAR,36.2314,401.4895941
ODP689,IAR,36.2864,435.373419
ODP689,IAR,36.3403,554.7198593
ODP689,IAR,36.3986,269.5584174
ODP689,IAR,36.4503,383.4867198
ODP689,IAR,36.5042,840.9961905
ODP689,IAR,36.5548,852.522438
ODP689,IAR,36.6142,334.2003953
ODP689,IAR,36.6703,288.7514472
ODP689,IAR,36.8944,128.9479489
ODP689,IAR,37.054669,130.0922597
ODP689,IAR,37.142866,222.6151835
ODP689,IAR,37.222244,269.0645989
ODP689,IAR,37.319261,180.1717726
ODP689,IAR,37.405694,155.0467528
ODP689,IAR,37.493891,138.4466138
ODP689,IAR,37.582088,453.8403532
ODP689,IAR,37.710856,821.3733685
ODP689,IAR,37.795525,653.4059533
ODP689,IAR,37.880195,1971.59407
ODP689,IAR,37.97192,1585.478625
ODP689,IAR,38.060117,1453.906021
ODP689,IAR,38.14655,2459.643163
ODP689,IAR,38.236511,3578.300215
ODP689,IAR,38.324708,2110.036848
ODP689,IAR,38.470515,616.1394678
ODP689,IAR,38.62,1214.75847
ODP689,IAR,38.766406,886.7371745
ODP689,IAR,38.906956,525.5501425
ODP689,IAR,39.059218,1804.197356
ODP689,IAR,39.205624,452.4067303
ODP689,IAR,39.346173,584.3828663
ODP689,IAR,39.498436,1446.201856
ODP689,IAR,39.644841,1301.087878
ODP689,IAR,39.785391,786.9577656
ODP689,IAR,39.937653,1183.590755
ODP689,IAR,40.163118,1059.308023
ODP689,IAR,40.289027,578.9899532
ODP689,IAR,40.426649,266.5675739
ODP689,IAR,40.581839,1201.061261
ODP689,IAR,40.73703,417.8009138
ODP689,IAR,40.868795,912.7005507
ODP689,IAR,41.012273,1033.819444
ODP689,IAR,41.167463,695.0217619
