age.sealevel.cramer.2012,age.sealevel.cramer.2004,sealevel.cramer
0,0,0
0.001,0.001,0
0.002,0.002,3.33
0.003,0.003,-4
0.004,0.004,-4.67
0.005,0.005,-2
0.006,0.006,-6.67
0.007,0.007,-9.33
0.008,0.008,-12.67
0.009,0.009,-10
0.01,0.01,-19.33
0.011,0.011,-24.67
0.012,0.012,-46
0.013,0.013,-55.33
0.014,0.014,-70
0.015,0.015,-84
0.016,0.016,-101.33
0.017,0.017,-110
0.018,0.018,-119.33
0.019,0.019,-115.33
0.02,0.02,-117.33
0.021,0.021,-112
0.022,0.022,-110
0.023,0.023,-108.67
0.024,0.024,-105.33
0.025,0.025,-106
0.026,0.026,-96
0.027,0.027,-101.33
0.028,0.028,-101.33
0.029,0.029,-100
0.03,0.03,-92.67
0.031,0.031,-92.67
0.032,0.032,-91.33
0.033,0.033,-90
0.034,0.034,-90.67
0.035,0.035,-87.33
0.036,0.036,-81.33
0.037,0.037,-82
0.038,0.038,-78.67
0.039,0.039,-88
0.04,0.04,-88
0.041,0.041,-85.33
0.042,0.042,-84.67
0.043,0.043,-82
0.044,0.044,-83.33
0.045,0.045,-73.33
0.046,0.046,-75.33
0.047,0.047,-76.67
0.048,0.048,-81.33
0.049,0.049,-82
0.05,0.05,-74
0.051,0.051,-73.33
0.052,0.052,-72
0.053,0.053,-80.67
0.054,0.054,-76.67
0.055,0.055,-72
0.056,0.056,-74.67
0.057,0.057,-80
0.058,0.058,-84
0.059,0.059,-80
0.06,0.06,-91.33
0.061,0.061,-85.33
0.062,0.062,-91.33
0.063,0.063,-86.67
0.064,0.064,-75.33
0.065,0.065,-83.33
0.066,0.066,-89.33
0.067,0.067,-80.67
0.068,0.068,-79.33
0.069,0.069,-82.67
0.07,0.07,-72.67
0.071,0.071,-66
0.072,0.072,-65.33
0.073,0.073,-66.67
0.074,0.074,-53.33
0.075,0.075,-48
0.076,0.076,-55.33
0.077,0.077,-56.67
0.078,0.078,-54.67
0.079,0.079,-54.67
0.08,0.08,-44.67
0.081,0.081,-39.33
0.082,0.082,-38
0.083,0.083,-40
0.084,0.084,-39.33
0.085,0.085,-48
0.086,0.086,-55.33
0.087,0.087,-63.33
0.088,0.088,-58.67
0.089,0.089,-56.67
0.09,0.09,-55.33
0.091,0.091,-53.33
0.092,0.092,-50
0.093,0.093,-44.67
0.094,0.094,-40.67
0.095,0.095,-36
0.096,0.096,-34.67
0.097,0.097,-40
0.098,0.098,-44.67
0.099,0.099,-36.67
0.1,0.1,-38.67
0.101,0.101,-46
0.102,0.102,-42
0.103,0.103,-43.33
0.104,0.104,-46
0.105,0.105,-41.33
0.106,0.106,-51.33
0.107,0.107,-54
0.108,0.108,-58.67
0.109,0.109,-59.33
0.11,0.11,-54
0.111,0.111,-52.67
0.112,0.112,-53.33
0.113,0.113,-46.67
0.114,0.114,-38.67
0.115,0.115,-32
0.116,0.116,-23.33
0.117,0.117,-20.67
0.118,0.118,-14
0.119,0.119,-4.67
0.12,0.12,-2.67
0.121,0.121,-2
0.122,0.122,3.33
0.123,0.123,8.67
0.124,0.124,-2.67
0.125,0.125,6
0.126,0.126,4.67
0.127,0.127,-9.33
0.128,0.128,-32
0.129,0.129,-44.67
0.13,0.13,-29.33
0.131,0.131,-38.67
0.132,0.132,-64.67
0.133,0.133,-78.67
0.134,0.134,-98
0.135,0.135,-108.67
0.136,0.136,-106
0.137,0.137,-104.67
0.138,0.138,-110.67
0.139,0.139,-109.33
0.14,0.14,-116.67
0.141,0.141,-105.33
0.142,0.142,-101.33
0.143,0.143,-103.33
0.144,0.144,-106
0.145,0.145,-100.67
0.146,0.146,-102.67
0.147,0.147,-106
0.148,0.148,-98.67
0.149,0.149,-101.33
0.15,0.15,-101.33
0.151,0.151,-95.33
0.152,0.152,-94
0.153,0.153,-92.67
0.154,0.154,-95.33
0.155,0.155,-85.33
0.156,0.156,-103.33
0.157,0.157,-100.67
0.158,0.158,-97.33
0.159,0.159,-95.33
0.16,0.16,-97.33
0.161,0.161,-94.67
0.162,0.162,-95.33
0.163,0.163,-98
0.164,0.164,-96.67
0.165,0.165,-96.67
0.166,0.166,-83.33
0.167,0.167,-78.67
0.168,0.168,-83.33
0.169,0.169,-84.67
0.17,0.17,-84.67
0.171,0.171,-86.67
0.172,0.172,-82
0.173,0.173,-76.67
0.174,0.174,-70
0.175,0.175,-72.67
0.176,0.176,-77.33
0.177,0.177,-82
0.178,0.178,-80.67
0.179,0.179,-83.33
0.18,0.18,-77.33
0.181,0.181,-82
0.182,0.182,-83.33
0.183,0.183,-76
0.184,0.184,-78
0.185,0.185,-90.67
0.186,0.186,-82.67
0.187,0.187,-78
0.188,0.188,-82
0.189,0.189,-77.33
0.19,0.19,-70
0.191,0.191,-60
0.192,0.192,-35.33
0.193,0.193,-46
0.194,0.194,-40.67
0.195,0.195,-45.33
0.196,0.196,-39.33
0.197,0.197,-34
